Datetime,Counts,kW,OAT,Mixed Temp,Return Temp,Supply Temp
2017-07-01 19:00:00,222.41666666666666,7.701416666666666,68.85350000000001,77.01524999999997,67.9559,60.96981666666668
2017-07-01 20:00:00,222.25,7.695633333333332,68.6707,76.0346,67.81798333333332,60.862216666666654
2017-07-01 21:00:00,218.75,7.574433333333334,68.45550000000001,74.15843333333333,67.62693333333334,60.797850000000004
2017-07-01 22:00:00,219.33333333333334,7.594625000000001,68.30515,73.83529999999999,67.47564999999999,60.78273333333335
2017-07-01 23:00:00,216.5,7.496508333333334,68.13526666666668,71.98679999999997,67.29568333333334,60.48263333333332
2017-07-02 00:00:00,215.58333333333334,7.464783333333333,68.19913333333335,71.23639999999999,67.34246666666667,60.24118333333334
2017-07-02 01:00:00,215.08333333333334,7.447483333333332,68.15743333333332,70.74948333333332,67.29429999999999,60.174
2017-07-02 02:00:00,214.33333333333334,7.421533333333333,68.08586666666665,70.29728333333333,67.22903333333333,59.976383333333345
2017-07-02 03:00:00,213.5,7.392649999999999,67.94491666666667,69.60403333333335,67.10031666666667,59.54535000000001
2017-07-02 04:00:00,211.75,7.33205,67.67443333333337,68.39111666666666,66.82196666666668,58.97345
2017-07-02 05:00:00,211.25,7.31475,67.45355,67.83909999999997,66.59033333333335,58.60826666666666
2017-07-02 06:00:00,211.33333333333334,7.317633333333333,67.56468333333335,67.48065,66.84075,58.87916666666665
2017-07-02 07:00:00,212.5,7.358008333333333,68.24185,69.83123333333333,67.4416833333333,59.75435000000001
2017-07-02 08:00:00,216.41666666666666,7.493641666666669,68.42366666666666,73.96225000000001,67.58885,60.42126666666666
2017-07-02 09:00:00,219.91666666666666,7.614825,68.83843333333334,76.85818333333333,67.95786666666667,60.94348333333335
2017-07-02 10:00:00,223.41666666666666,7.7360250000000015,69.33435000000001,78.93276666666667,68.44053333333336,61.88773333333334
2017-07-02 11:00:00,224.91666666666666,7.7879499999999995,69.62303333333332,79.98733333333334,68.682,61.94706666666664
